family,case,tier,fixture_bytes,fixture_files,fixture_profile,seed,sample_count,timer,elapsed_ns,status,verification,target_ns,target_status,preparation_wall_ns,command_wall_ns,create_ns,exec_ns,sdk_edit_ns,commit_ns,visibility_ns,end_ns,host_peak_rss_bytes,container_peak_bytes,host_cpu_ns,host_cpu_scope,container_cpu_ns,verification_wall_seconds,apply_ns,git_first_status_ns,git_diff_ns,git_add_ns,git_cached_check_ns,git_commit_ns,git_final_status_ns,previous_elapsed_ns,difference_ns,difference_percent,resource_status,cleanup_status,cleanup_wall_ns,source_identity,product_identity,harness_identity,input_identity,image,proof_evidence,evidence
init_namespace,namespace-1000-compact-v3,1000,20000000,1000,compact-low-tier-v2,,1,layerstack_init_ns,38077083,PASS,PASS,15000000000,PASS,981590250,390572292,,,,,,,53362688,4866048,174370500,native initialization phase,13283000,1.965520250145346,,,,,,,,39891375,-1814292,-4.548080882145577,PASS,PASS,340698625,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,af529d6c1ace62851cfb8197e0cacab7390f632008ba09a1800bd1775871e125,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/init_namespace/namespace-1000-compact-v3/verification.json,performance/init_namespace/namespace-1000-compact-v3/perf.jsonl
init_namespace,namespace-10000,10000,300000000,10000,registered-fixture,,1,layerstack_init_ns,403467916,PASS,PASS,15000000000,PASS,4706608584,876246750,,,,,,,70467584,4636672,1721873083,native initialization phase,17192000,6.707328666001558,,,,,,,,402720750,747166,0.18552955118404005,PASS,PASS,346098000,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,667413e0beca22b4254502062298db7f5718a41bacd7b2abde0ee849be78354b,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/init_namespace/namespace-10000/verification.json,performance/init_namespace/namespace-10000/perf.jsonl
init_namespace,namespace-100000,100000,500000000,100000,registered-fixture,,1,layerstack_init_ns,2603162083,PASS,PASS,15000000000,PASS,28593761834,3331686459,,,,,,,106168320,6635520,18099105583,native initialization phase,16464000,35.46769508300349,,,,,,,,2734598417,-131436334,-4.806421783282997,PASS,PASS,355419250,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,c49fde33907150204907c4ba20795b1978d3a7d0b4f81c81b7e4250fb5b32486,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/init_namespace/namespace-100000/verification.json,performance/init_namespace/namespace-100000/perf.jsonl
store_footprint,store-footprint-unique-100000,100000,500000000,100000,registered-fixture,,1,product_call_sum_ns,2982459252,PASS,PASS,15000000000,PASS,29967584583,3817705500,,,,,,,108642304,5337088,9338030458,host process cumulative at observation,54923000,32.86010116711259,,,,,,,,2936725542,45733710,1.557302830854733,PASS,PASS,408122333,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,71fb7d4cf3e22efde88ca667196db9fbd926b558ba0ef190c6705be4f2b6edc2,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/store_footprint/store-footprint-unique-100000/verification.json,performance/store_footprint/store-footprint-unique-100000/perf.jsonl
store_footprint,store-footprint-metadata-cardinality-100000,100000,500000000,100000,registered-fixture,,1,product_call_sum_ns,4570429959,PASS,PASS,15000000000,PASS,27303627292,5367916542,,,,,,,127270912,4886528,20165695499,host process cumulative at observation,54629000,38.551538666244596,,,,,,,,5708673915,-1138243956,-19.93885047469908,PASS,PASS,384434708,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,09567547f4fcaf4cac66755db9c127bead2622185193d944a9276e867c9ca75b,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/store_footprint/store-footprint-metadata-cardinality-100000/verification.json,performance/store_footprint/store-footprint-metadata-cardinality-100000/perf.jsonl
store_footprint,store-footprint-large-object-500m,100000,500000000,100,registered-fixture,,1,product_call_sum_ns,491905625,PASS,PASS,15000000000,PASS,3544154959,1248343708,,,,,,,65503232,5132288,1294280208,host process cumulative at observation,52445000,5.6987985000014305,,,,,,,,495413042,-3507417,-0.7079783337637687,PASS,PASS,381827250,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,ae2466e26946ded957c2ffcc6967a1bbff142319c2a39290100ebf2d26123b85,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/store_footprint/store-footprint-large-object-500m/verification.json,performance/store_footprint/store-footprint-large-object-500m/perf.jsonl
store_footprint,store-footprint-unique-100-low-v1,100,5000000,100,compact-low-tier-v2,,1,product_call_sum_ns,31947543,PASS,PASS,15000000000,PASS,808257083,498291708,,,,,,,24936448,4898816,49881834,host process cumulative at observation,46972000,2.0881247082725167,,,,,,,,34059585,-2112042,-6.201020946086102,PASS,PASS,345944125,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,8fddeb7cc0a1480608eff5707107af8df39c420f8e9c42f513302c9417858ecb,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/store_footprint/store-footprint-unique-100-low-v1/verification.json,performance/store_footprint/store-footprint-unique-100-low-v1/perf.jsonl
store_footprint,store-footprint-metadata-cardinality-100-low-v1,100,5000000,100,compact-low-tier-v2,,1,product_call_sum_ns,35869626,PASS,PASS,15000000000,PASS,817323500,483455208,,,,,,,25149440,5410816,54643250,host process cumulative at observation,46763000,2.1498197079636157,,,,,,,,33524167,2345459,6.996322980970713,PASS,PASS,336465166,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,34e6343259b731b8243a2c0192dc7ac933c08df9a9a0d55649ffa0613a43db5d,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/store_footprint/store-footprint-metadata-cardinality-100-low-v1/verification.json,performance/store_footprint/store-footprint-metadata-cardinality-100-low-v1/perf.jsonl
store_footprint,store-footprint-large-object-10m-low-v1,10,10000000,10,compact-low-tier-v2,,1,product_call_sum_ns,43893543,PASS,PASS,15000000000,PASS,873735042,493926916,,,,,,,32342016,4874240,50690083,host process cumulative at observation,46873000,2.1416437081061304,,,,,,,,53083250,-9189707,-17.311877098708162,PASS,PASS,343433750,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,11c3adaa392ed7ba7bcf97d9adf76c474694d89a08b542d3291c45fda776a9de,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/store_footprint/store-footprint-large-object-10m-low-v1/verification.json,performance/store_footprint/store-footprint-large-object-10m-low-v1/perf.jsonl
tiny_file_churn,tiny-create-1-compact-v2,1,1048576,50,compact-low-tier-v2,,1,pure_call_sum_ns,19053709,PASS,PASS,15000000000,PASS,1777821166,444781292,7558708,5760750,,3306834,69584,2357833,9961472,5165056,23693833,host process after-product minus before counters,21301000,2.9295104583725333,,,,,,,,22029293,-2975584,-13.50739671944987,PASS,PASS,349005459,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,e2cdaed21a82ed9c133bf08ff3718b72ba5995d99ae484f2d97418c1c45be79d,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/tiny_file_churn/tiny-create-1-compact-v2/verification.json,performance/tiny_file_churn/tiny-create-1-compact-v2/perf.jsonl
tiny_file_churn,tiny-create-10-compact-v2,10,10485760,500,compact-low-tier-v2,,1,pure_call_sum_ns,26711667,PASS,PASS,15000000000,PASS,9293640542,339299250,8621000,10517834,,4762458,74542,2735833,11468800,4894720,23312459,host process after-product minus before counters,22630000,10.674214290920645,,,,,,,,35748960,-9037293,-25.27987667333539,PASS,PASS,340502084,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,90f724764058905ac6fd24a96a537188c7d9dd75bd7198c990f0494c4ce9836b,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/tiny_file_churn/tiny-create-10-compact-v2/verification.json,performance/tiny_file_churn/tiny-create-10-compact-v2/perf.jsonl
tiny_file_churn,tiny-create-100-mixed-v4,100,104857600,2000,workspace-mixed-v4,,1,pure_call_sum_ns,53616291,PASS,PASS,15000000000,PASS,11350842834,389891167,6576500,36491458,,7752541,72750,2723042,12648448,4612096,26864667,host process after-product minus before counters,38363000,13.17870608298108,,,,,,,,91400959,-37784668,-41.33946559576032,PASS,PASS,427748625,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,d3b66c9dae028bdf4711e4d6bcea4d3d1d9fa9ef091225679d2a6281477ee8d7,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/tiny_file_churn/tiny-create-100-mixed-v4/verification.json,performance/tiny_file_churn/tiny-create-100-mixed-v4/perf.jsonl
tiny_file_churn,tiny-create-500-mixed-v4,500,524288000,5000,workspace-mixed-v4,,1,pure_call_sum_ns,201739625,PASS,PASS,15000000000,PASS,21682538000,546087125,9651875,164055458,,24284125,74458,3673709,21495808,6807552,41676334,host process after-product minus before counters,118182000,23.838351749815047,,,,,,,,322892250,-121152625,-37.52106933504908,PASS,PASS,924410250,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,7bc64a3268e5e3cf039ecf31d8aa7063652a2fcd1bbab3e2cd82a3b7ebe0ce45,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/tiny_file_churn/tiny-create-500-mixed-v4/verification.json,performance/tiny_file_churn/tiny-create-500-mixed-v4/perf.jsonl
tiny_file_churn,tiny-stat-1-compact-v2,1,1048576,51,compact-low-tier-v2,,1,pure_call_sum_ns,15833917,PASS,PASS,15000000000,PASS,682887791,342323792,7467542,4650167,,1357083,68833,2290292,9814016,4603904,21585874,host process after-product minus before counters,19505000,1.6641851249150932,,,,,,,,18053456,-2219539,-12.294260999112856,PASS,PASS,344246000,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,c85cf278477212d28d2e75d3ca3c7389cadd05f918f1d5fd5c1cce6b99a6058f,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/tiny_file_churn/tiny-stat-1-compact-v2/verification.json,performance/tiny_file_churn/tiny-stat-1-compact-v2/perf.jsonl
tiny_file_churn,tiny-stat-10-compact-v2,10,10502249,510,compact-low-tier-v2,,1,pure_call_sum_ns,21194250,PASS,PASS,15000000000,PASS,900698333,385679667,8308791,9018042,,1525792,81875,2259750,12615680,5386240,23505625,host process after-product minus before counters,21284000,1.8630032921209931,,,,,,,,24621125,-3426875,-13.918433865227524,PASS,PASS,298299875,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,629db2a198092befb931ab28d5fade7642fafd2b95afe131c22f914ff139db53,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/tiny_file_churn/tiny-stat-10-compact-v2/verification.json,performance/tiny_file_churn/tiny-stat-10-compact-v2/perf.jsonl
tiny_file_churn,tiny-stat-100-mixed-v4,100,105682050,2500,workspace-mixed-v4,,1,pure_call_sum_ns,37810208,PASS,PASS,15000000000,PASS,3241505791,391789959,7164666,26470708,,1777667,87417,2309750,13991936,5849088,30915334,host process after-product minus before counters,26194000,4.687502583023161,,,,,,,,65483625,-27673417,-42.26005661720774,PASS,PASS,451933125,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,4cef76f58d89eb48a583de05354b36cadf2e924fbcf20f10341cf0568c4b070d,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/tiny_file_churn/tiny-stat-100-mixed-v4/verification.json,performance/tiny_file_churn/tiny-stat-100-mixed-v4/perf.jsonl
tiny_file_churn,tiny-stat-500-mixed-v4,500,525112450,5500,workspace-mixed-v4,,1,pure_call_sum_ns,55349375,PASS,PASS,15000000000,PASS,13605708375,391464500,7630625,42781125,,1995458,68500,2873667,16859136,6643712,35523000,host process after-product minus before counters,36233000,15.140078791882843,,,,,,,,218262625,-162913250,-74.64092856026083,PASS,PASS,718096000,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,109bbf3bddbbcf3d9a78374782814096295a489c03118029a6c36c42e44ad08e,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/tiny_file_churn/tiny-stat-500-mixed-v4/verification.json,performance/tiny_file_churn/tiny-stat-500-mixed-v4/perf.jsonl
tiny_file_churn,tiny-unlink-1-compact-v2,1,1048576,51,compact-low-tier-v2,,1,pure_call_sum_ns,17634874,PASS,PASS,15000000000,PASS,502145708,332023917,6615458,5616500,,2754875,74250,2573791,10174464,4866048,21836875,host process after-product minus before counters,18779000,1.5801415829919279,,,,,,,,20225875,-2591001,-12.810328354150315,PASS,PASS,349065917,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,5fbd7d5c95406211005609d7674d1bfe2042a8d10bb4f5981e56d4191a6ff286,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/tiny_file_churn/tiny-unlink-1-compact-v2/verification.json,performance/tiny_file_churn/tiny-unlink-1-compact-v2/perf.jsonl
