first_retained_checkpoint,role,unique_objects,canonical_bytes,snapshot,status,provenance
9,FileState,181,19186,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
9,directory_map_leaf,23,11907,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
9,directory_state,23,2254,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
9,extent_leaf,181,17084,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
9,inode_record,204,19992,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
9,inode_table_branch,1,876,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
9,inode_table_leaf,13,70268,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
9,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
9,payload_chunk,206,1959681,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
10,FileState,227,24062,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
10,directory_map_leaf,8,7524,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
10,directory_state,8,784,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
10,extent_leaf,227,20508,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
10,inode_record,235,23030,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
10,inode_table_branch,1,876,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
10,inode_table_leaf,13,70908,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
10,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
10,payload_chunk,238,1674407,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
11,FileState,296,31376,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
11,directory_map_leaf,31,16089,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
11,directory_state,31,3038,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
11,extent_leaf,296,28304,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
11,inode_record,327,32046,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
11,inode_table_branch,1,876,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
11,inode_table_leaf,13,73788,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
11,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
11,payload_chunk,361,3719838,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
12,FileState,100,10600,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
12,directory_map_leaf,33,10763,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
12,directory_state,33,3234,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
12,extent_leaf,100,9240,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
12,inode_record,133,13034,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
12,inode_table_branch,1,940,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
12,inode_table_leaf,14,79784,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
12,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
12,payload_chunk,109,750692,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
13,FileState,297,31482,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
13,directory_map_leaf,47,18775,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
13,directory_state,47,4606,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
13,extent_leaf,297,28468,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
13,inode_record,344,33712,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
13,inode_table_branch,1,1068,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
13,inode_table_leaf,16,89088,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
13,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
13,payload_chunk,367,3686012,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
14,FileState,68,7208,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
14,directory_map_leaf,10,3398,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
14,directory_state,10,980,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
14,extent_leaf,68,6872,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
14,inode_record,78,7644,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
14,inode_table_branch,1,940,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
14,inode_table_leaf,14,78696,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
14,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
14,payload_chunk,84,854475,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
15,FileState,429,45474,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
15,directory_map_leaf,123,38655,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
15,directory_state,123,12054,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
15,extent_leaf,429,41236,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
15,inode_record,552,54096,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
15,inode_table_branch,1,1260,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
15,inode_table_leaf,19,102852,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
15,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
15,payload_chunk,527,4683668,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
16,FileState,195,20670,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
16,directory_map_leaf,14,11941,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
16,directory_state,14,1372,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
16,extent_leaf,195,18580,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
16,inode_record,209,20482,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
16,inode_table_branch,1,1260,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
16,inode_table_leaf,19,105220,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
16,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
16,payload_chunk,226,1931281,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
17,FileState,755,80030,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
17,directory_map_leaf,48,23189,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
17,directory_state,48,4704,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
17,extent_leaf,755,68500,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
17,inode_record,803,78694,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
17,inode_table_branch,1,1388,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
17,inode_table_leaf,21,110300,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
17,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
17,payload_chunk,842,6556991,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
18,FileState,242,25652,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
18,directory_map_leaf,29,11794,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
18,directory_state,29,2842,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
18,extent_leaf,242,22688,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
18,inode_record,271,26558,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
18,inode_table_branch,1,1388,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
18,inode_table_leaf,21,112476,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
18,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
18,payload_chunk,275,2363378,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
19,FileState,172,18232,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
19,directory_map_leaf,16,12994,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
19,directory_state,16,1568,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
19,extent_leaf,172,16248,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
19,inode_record,188,18424,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
19,inode_table_branch,1,1388,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
19,inode_table_leaf,21,114332,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
19,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
19,payload_chunk,193,1662732,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
20,FileState,17,1802,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
20,directory_map_leaf,21,10538,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
20,directory_state,21,2058,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
20,extent_leaf,17,1788,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
20,inode_record,38,3724,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
20,inode_table_branch,1,1004,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
20,inode_table_leaf,15,71444,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
20,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
20,payload_chunk,18,208419,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
21,FileState,43,4558,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
21,directory_map_leaf,182,58606,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
21,directory_state,182,17836,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
21,extent_leaf,43,4492,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
21,inode_record,225,22050,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
21,inode_table_branch,1,1196,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
21,inode_table_leaf,18,109720,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
21,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
21,payload_chunk,50,543020,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
22,FileState,801,84906,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
22,directory_map_leaf,147,52855,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
22,directory_state,147,14406,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
22,extent_leaf,801,74404,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
22,inode_record,948,92904,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
22,inode_table_branch,1,1644,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
22,inode_table_leaf,25,138956,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
22,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
22,payload_chunk,936,7931906,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
23,FileState,20,2120,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
23,directory_map_leaf,30,10996,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
23,directory_state,30,2940,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
23,extent_leaf,20,2320,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
23,inode_record,50,4900,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
23,inode_table_branch,1,1388,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
23,inode_table_leaf,21,112220,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
23,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
23,payload_chunk,25,235782,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
24,FileState,105,11130,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
